id;region;customer_lifetime_value;response;coverage;education;effective_to_date;month;employment_status;gender;income;location_code;marital_status;monthly_premium_auto;months_since_last_claim;months_since_policy_inception;number_of_open_complaints;number_of_policies;policy_type;policy;renew_offer_type;sales_channel;total_claim_amount;vehicle_class;vehicle_size
7982;north west;4826;no;basic;doctor;20/02/11;feb;medical leave;m;18779;urban;married;63;10;65;0;4;personal auto;personal l3;offer3;agent;215;four-door car;large
7983;central;9032;no;extended;bachelor;08/01/11;jan;unemployed;f;94994;rural;married;82;24;21;0;2;personal auto;personal l1;offer1;branch;157;four-door car;medsize
7984;central;6678;no;extended;bachelor;12/01/11;jan;employed;f;47137;rural;married;84;5;11;0;5;personal auto;personal l1;offer4;agent;161;four-door car;medsize
7985;west region;21423;yes;basic;bachelor;03/01/11;jan;unemployed;m;46696;suburban;married;65;9;31;0;2;special auto;special l3;offer2;agent;312;two-door car;medsize
7986;central;8433;no;basic;bachelor;15/02/11;feb;employed;m;57961;rural;divorced;72;16;64;1;2;personal auto;personal l3;offer1;agent;38;two-door car;large
7987;north west;5326;no;basic;college;08/02/11;feb;employed;f;22268;urban;married;67;12;70;0;8;personal auto;personal l1;offer3;call center;294;two-door car;medsize
7988;west region;2414;no;basic;high school or below;08/01/11;jan;unemployed;m;17028;suburban;single;71;25;30;0;1;personal auto;personal l3;offer2;call center;511;four-door car;medsize
7989;central;2500;no;basic;high school or below;20/01/11;jan;unemployed;m;30992;suburban;married;67;4;44;0;1;personal auto;personal l3;offer2;call center;664;four-door car;small
7990;north west;4276;no;premium;bachelor;16/01/11;jan;employed;m;36692;suburban;married;109;1;6;1;1;personal auto;personal l3;offer2;call center;523;four-door car;medsize
7991;north west;2470;no;basic;college;09/01/11;jan;unemployed;m;79387;suburban;single;74;7;20;0;1;personal auto;personal l1;offer4;web;721;two-door car;large
7992;west region;30118;no;premium;high school or below;09/01/11;jan;employed;m;68906;suburban;married;187;12;61;0;2;personal auto;personal l3;offer3;web;1053;sports car;medsize
7993;north west;8193;no;basic;bachelor;20/02/11;feb;employed;m;54950;urban;married;103;18;75;0;7;corporate auto;corporate l1;offer4;web;480;suv;medsize
7994;west region;2309;no;basic;bachelor;25/02/11;feb;unemployed;f;89555;rural;divorced;61;16;57;0;1;personal auto;personal l3;offer1;agent;32;four-door car;medsize
7995;north west;3033;no;extended;bachelor;05/01/11;jan;disabled;f;27369;urban;married;77;13;40;0;1;personal auto;personal l3;offer1;call center;331;four-door car;medsize
7996;east;7988;no;extended;high school or below;01/02/11;feb;employed;f;77330;rural;married;99;0;21;0;3;personal auto;personal l3;offer2;web;99;four-door car;medsize
7997;central;3275;no;extended;high school or below;23/01/11;jan;employed;f;69263;suburban;married;81;8;12;2;1;personal auto;personal l3;offer3;agent;494;two-door car;medsize
7998;west region;7416;no;extended;bachelor;22/02/11;feb;unemployed;m;28466;suburban;single;77;15;12;2;2;personal auto;personal l3;offer1;agent;554;four-door car;medsize
7999;east;15483;no;basic;high school or below;09/02/11;feb;employed;m;24661;suburban;married;196;6;28;0;7;personal auto;personal l1;offer2;call center;1961;luxury suv;medsize
8000;north west;9460;no;extended;high school or below;22/01/11;jan;unemployed;f;69913;suburban;single;133;23;32;0;6;personal auto;personal l1;offer1;call center;1443;suv;medsize
8001;east;4727;no;basic;bachelor;03/01/11;jan;unemployed;m;68223;suburban;single;72;23;7;0;3;personal auto;personal l2;offer2;call center;345;four-door car;medsize
8002;west region;27279;no;basic;college;07/02/11;feb;employed;f;76530;rural;divorced;119;35;9;4;2;personal auto;personal l2;offer3;call center;254;suv;medsize
8003;west region;16272;no;basic;bachelor;09/02/11;feb;employed;m;83589;urban;single;103;27;65;0;2;personal auto;personal l2;offer3;agent;366;suv;small
8004;west region;11277;no;extended;master;01/02/11;feb;employed;m;98138;urban;married;93;30;10;1;2;personal auto;personal l1;offer3;agent;427;four-door car;medsize
8005;central;3343;no;extended;bachelor;29/01/11;jan;employed;m;40794;urban;divorced;87;6;87;0;1;personal auto;personal l3;offer4;branch;334;four-door car;medsize
8006;east;4389;no;basic;high school or below;28/01/11;jan;unemployed;f;82368;suburban;divorced;118;10;69;1;1;personal auto;personal l3;offer1;branch;670;suv;medsize
8007;central;15956;no;extended;high school or below;21/01/11;jan;employed;m;36354;suburban;married;202;34;28;0;9;corporate auto;corporate l2;offer3;agent;1454;luxury suv;small
8008;central;43217;no;extended;high school or below;27/01/11;jan;employed;m;51504;suburban;single;220;30;99;0;2;personal auto;personal l3;offer1;agent;2552;four-door car;medsize
8009;central;2570;no;basic;bachelor;11/01/11;jan;employed;m;58498;suburban;married;67;6;1;3;1;personal auto;personal l3;offer2;call center;321;four-door car;small
8010;central;4277;no;basic;high school or below;09/02/11;feb;employed;m;77265;suburban;married;107;23;9;0;1;personal auto;personal l2;offer2;call center;513;suv;small
8011;central;19964;no;basic;college;05/02/11;feb;unemployed;m;43713;suburban;single;192;35;34;0;2;personal auto;personal l2;offer1;web;921;luxury suv;small
8012;west region;4861;no;basic;college;11/02/11;feb;medical leave;m;12153;suburban;single;69;23;9;1;8;personal auto;personal l3;offer1;branch;438;four-door car;large
8013;central;21112;no;extended;bachelor;22/02/11;feb;unemployed;f;71243;rural;married;81;12;59;0;2;personal auto;personal l3;offer3;branch;136;four-door car;medsize
8014;central;24138;no;basic;master;13/02/11;feb;employed;m;53691;urban;divorced;67;13;48;0;2;personal auto;personal l3;offer1;call center;175;four-door car;medsize
8015;north west;4318;no;premium;college;08/02/11;feb;disabled;f;17572;suburban;married;110;0;35;0;1;personal auto;personal l1;offer3;call center;639;two-door car;medsize
8016;west region;2555;no;basic;high school or below;01/02/11;feb;employed;m;25385;suburban;married;65;1;96;0;1;corporate auto;corporate l3;offer4;branch;458;four-door car;medsize
8017;central;2453;yes;basic;bachelor;09/02/11;feb;medical leave;m;29735;suburban;single;69;3;92;0;1;personal auto;personal l3;offer1;agent;331;four-door car;medsize
8018;north west;4362;yes;premium;college;03/01/11;jan;employed;m;58842;suburban;married;110;6;74;0;1;personal auto;personal l3;offer2;branch;528;four-door car;medsize
8019;west region;2497;no;basic;high school or below;21/02/11;feb;retired;f;15520;suburban;married;66;21;16;0;1;personal auto;personal l1;offer3;web;316;two-door car;medsize
8020;west region;4576;no;premium;master;08/01/11;jan;employed;f;48569;urban;married;114;0;14;0;1;personal auto;personal l3;offer1;agent;434;four-door car;medsize
8021;west region;7188;no;extended;high school or below;29/01/11;jan;medical leave;m;13542;suburban;married;94;29;35;0;8;personal auto;personal l3;offer1;web;451;four-door car;small
8022;central;2416;no;basic;college;06/02/11;feb;medical leave;f;18944;rural;married;63;20;64;0;1;personal auto;personal l3;offer4;call center;125;four-door car;medsize
8023;north west;26538;no;basic;bachelor;18/01/11;jan;employed;f;94132;suburban;married;73;31;68;0;2;personal auto;personal l2;offer2;call center;350;four-door car;small
8024;north west;3721;no;extended;bachelor;02/02/11;feb;employed;f;71333;urban;married;93;9;92;0;1;personal auto;personal l3;offer2;call center;343;four-door car;medsize
8025;west region;2548;no;basic;bachelor;05/01/11;jan;employed;m;47346;suburban;married;65;8;35;0;1;personal auto;personal l3;offer2;call center;312;four-door car;small
8026;west region;9156;no;premium;college;22/01/11;jan;employed;m;59624;suburban;divorced;117;23;44;0;3;corporate auto;corporate l3;offer3;branch;582;four-door car;small
8027;west region;3482;no;extended;high school or below;03/01/11;jan;unemployed;m;13554;suburban;single;96;31;85;0;1;personal auto;personal l2;offer1;agent;726;four-door car;medsize
8028;north west;22837;no;premium;college;15/02/11;feb;employed;m;89384;suburban;married;285;27;70;0;4;corporate auto;corporate l2;offer2;web;2052;luxury car;large
8029;central;2491;yes;basic;doctor;29/01/11;jan;employed;m;36631;rural;divorced;62;30;77;0;1;personal auto;personal l3;offer1;agent;67;four-door car;large
8030;west region;18321;no;basic;college;03/01/11;jan;employed;f;21189;suburban;divorced;66;4;2;0;2;personal auto;personal l3;offer3;agent;316;two-door car;medsize
8031;central;2760;no;basic;bachelor;09/01/11;jan;employed;m;79065;urban;married;69;13;24;0;1;corporate auto;corporate l2;offer2;web;290;four-door car;medsize
8032;west region;2946;no;basic;bachelor;01/02/11;feb;employed;f;89270;urban;single;74;17;90;0;1;personal auto;personal l3;offer2;branch;316;four-door car;medsize
8033;west region;2395;yes;basic;doctor;27/01/11;jan;disabled;f;21986;suburban;divorced;63;1;9;0;1;personal auto;personal l3;offer2;branch;333;two-door car;medsize
8034;central;5897;no;basic;high school or below;03/02/11;feb;employed;m;39188;suburban;divorced;74;9;2;0;3;personal auto;personal l3;offer3;web;355;four-door car;medsize
8035;central;2566;no;basic;high school or below;06/02/11;feb;medical leave;m;25049;suburban;married;67;14;7;0;1;personal auto;personal l3;offer2;call center;454;two-door car;medsize
8036;central;3858;no;basic;high school or below;08/01/11;jan;unemployed;f;14210;suburban;married;107;15;58;1;1;personal auto;personal l3;offer3;agent;513;suv;medsize
8037;east;2819;no;basic;high school or below;07/02/11;feb;employed;f;88067;suburban;married;70;19;59;0;1;personal auto;personal l3;offer2;branch;336;four-door car;small
8038;central;7341;no;basic;high school or below;03/02/11;feb;employed;f;27649;suburban;single;63;3;63;0;2;personal auto;personal l3;offer4;web;302;four-door car;medsize
8039;north west;2629;no;basic;high school or below;19/01/11;jan;unemployed;m;50312;suburban;married;71;0;44;0;1;corporate auto;corporate l1;offer2;branch;340;four-door car;large
8040;north west;6945;no;basic;high school or below;02/02/11;feb;disabled;f;15850;suburban;married;61;28;14;0;2;corporate auto;corporate l3;offer4;call center;314;two-door car;medsize
8041;central;8139;no;basic;high school or below;12/01/11;jan;employed;m;86876;rural;married;68;9;3;0;2;personal auto;personal l3;offer4;call center;118;four-door car;medsize
8042;central;7355;no;basic;bachelor;19/01/11;jan;employed;m;51789;suburban;married;61;33;31;0;2;corporate auto;corporate l2;offer4;call center;435;two-door car;large
8043;east;2864;no;extended;bachelor;13/01/11;jan;unemployed;f;51043;suburban;single;83;33;30;0;1;personal auto;personal l2;offer4;web;825;two-door car;medsize
8044;west region;4813;no;basic;bachelor;27/02/11;feb;unemployed;m;60112;suburban;single;69;30;44;0;3;special auto;special l3;offer1;agent;472;four-door car;medsize
8045;central;10080;no;extended;college;12/02/11;feb;employed;m;60944;urban;married;130;10;38;2;4;personal auto;personal l3;offer2;web;623;suv;medsize
8046;north west;4270;yes;extended;college;19/01/11;jan;unemployed;m;99265;suburban;married;122;13;2;1;1;personal auto;personal l3;offer2;agent;725;suv;medsize
8047;north west;2518;no;basic;high school or below;08/01/11;jan;employed;m;86617;urban;single;63;9;10;0;1;personal auto;personal l3;offer3;agent;188;four-door car;medsize
8048;north west;3649;no;basic;master;31/01/11;jan;unemployed;m;47452;suburban;single;100;31;80;0;1;personal auto;personal l3;offer1;agent;480;suv;medsize
8049;north west;5918;no;basic;college;04/02/11;feb;employed;f;94846;urban;married;73;15;68;0;7;corporate auto;corporate l2;offer1;agent;305;two-door car;medsize
8050;east;18370;no;extended;college;23/01/11;jan;employed;m;49659;suburban;divorced;234;31;15;0;9;personal auto;personal l3;offer3;web;1684;luxury car;large
8051;central;15613;no;premium;bachelor;19/01/11;jan;employed;f;27514;suburban;married;197;12;97;0;8;personal auto;personal l3;offer1;call center;1367;suv;medsize
8052;central;2619;yes;basic;bachelor;05/02/11;feb;employed;m;78618;urban;divorced;66;7;56;0;1;corporate auto;corporate l3;offer1;agent;225;two-door car;medsize
8053;north west;7322;no;basic;high school or below;07/02/11;feb;employed;m;80864;urban;married;182;5;30;0;1;personal auto;personal l3;offer3;agent;618;luxury suv;medsize
8054;central;4270;yes;extended;college;19/01/11;jan;unemployed;m;69083;suburban;married;122;27;2;0;1;personal auto;personal l2;offer2;agent;725;suv;medsize
8055;north west;4893;no;basic;bachelor;14/02/11;feb;unemployed;m;11527;suburban;single;73;11;56;0;5;corporate auto;corporate l3;offer2;branch;680;two-door car;medsize
8056;east;4031;no;basic;college;07/02/11;feb;unemployed;m;55080;suburban;married;63;35;59;3;3;personal auto;personal l2;offer2;call center;639;two-door car;large
8057;west region;8087;no;premium;bachelor;06/02/11;feb;unemployed;f;64083;suburban;married;110;9;23;0;6;personal auto;personal l1;offer1;web;550;two-door car;medsize
8058;north west;5340;no;basic;college;17/01/11;jan;unemployed;f;91935;suburban;married;72;1;73;0;6;personal auto;personal l3;offer2;web;345;suv;medsize
8059;north west;2545;no;basic;bachelor;26/02/11;feb;employed;f;26746;rural;single;66;20;41;0;1;personal auto;personal l2;offer1;agent;165;two-door car;medsize
8060;central;8197;no;basic;high school or below;13/01/11;jan;employed;m;56788;suburban;single;108;22;34;5;7;special auto;special l3;offer1;agent;579;suv;medsize
8061;west region;5223;no;basic;bachelor;04/02/11;feb;medical leave;m;16513;suburban;divorced;71;23;37;0;6;personal auto;personal l3;offer3;branch;340;four-door car;medsize
8062;west region;5100;no;basic;high school or below;26/01/11;jan;unemployed;f;53840;suburban;single;71;9;2;1;7;corporate auto;corporate l1;offer3;web;653;four-door car;small
8063;west region;3939;yes;extended;bachelor;28/01/11;jan;employed;f;60021;suburban;married;99;12;28;0;1;special auto;special l2;offer2;agent;882;four-door car;small
8064;west region;4450;no;premium;bachelor;28/01/11;jan;employed;m;26848;rural;married;114;10;50;0;1;personal auto;personal l1;offer4;agent;100;two-door car;medsize
8065;central;6470;no;extended;college;07/02/11;feb;employed;m;48638;rural;married;82;16;29;0;3;personal auto;personal l1;offer3;call center;183;four-door car;medsize
8066;central;7689;no;extended;master;04/02/11;feb;employed;f;42677;suburban;divorced;96;5;20;0;3;personal auto;personal l3;offer1;branch;1084;four-door car;small
8067;north west;7247;no;extended;college;26/02/11;feb;unemployed;f;44571;suburban;married;96;31;64;1;3;personal auto;personal l2;offer1;agent;460;four-door car;large
8068;west region;6047;yes;extended;college;19/02/11;feb;employed;m;20396;suburban;married;76;15;60;1;4;personal auto;personal l3;offer1;branch;364;four-door car;medsize
8069;north west;9378;no;basic;college;07/01/11;jan;employed;f;36067;suburban;married;117;30;78;0;3;personal auto;personal l3;offer2;branch;561;sports car;large
8070;east;32961;no;basic;high school or below;19/02/11;feb;employed;f;66014;urban;married;102;34;11;0;2;personal auto;personal l3;offer2;branch;459;suv;medsize
8071;west region;19259;yes;premium;master;26/01/11;jan;employed;f;35973;suburban;married;159;15;97;2;2;personal auto;personal l2;offer1;call center;763;sports car;large
8072;north west;3265;yes;extended;bachelor;26/01/11;jan;employed;f;25820;suburban;divorced;82;10;69;0;1;corporate auto;corporate l2;offer1;agent;393;four-door car;medsize
8073;east;2589;no;basic;high school or below;23/01/11;jan;employed;f;49675;suburban;married;65;10;54;0;1;personal auto;personal l2;offer2;agent;312;two-door car;medsize
8074;west region;19323;no;extended;high school or below;08/01/11;jan;unemployed;f;10249;suburban;divorced;139;24;3;1;2;personal auto;personal l2;offer1;branch;1389;suv;small
8075;east;2610;no;basic;bachelor;18/01/11;jan;employed;f;54737;suburban;single;66;3;86;0;1;personal auto;personal l3;offer3;web;391;four-door car;medsize
8076;central;2991;no;extended;bachelor;06/02/11;feb;unemployed;f;51005;suburban;single;80;9;96;0;1;corporate auto;corporate l2;offer2;web;576;four-door car;small
8077;west region;12992;no;basic;high school or below;06/02/11;feb;unemployed;f;30078;suburban;single;72;8;61;0;2;personal auto;personal l3;offer1;agent;518;four-door car;medsize
8078;central;7519;no;extended;high school or below;20/02/11;feb;employed;m;96306;rural;divorced;95;12;17;1;6;corporate auto;corporate l2;offer1;agent;185;four-door car;medsize
8079;west region;8178;no;basic;college;28/01/11;jan;employed;f;29057;suburban;married;102;22;24;0;3;corporate auto;corporate l3;offer2;agent;489;suv;medsize
8080;east;2691;no;basic;college;24/01/11;jan;employed;f;77411;urban;married;67;30;63;0;1;personal auto;personal l2;offer2;agent;257;four-door car;medsize
8081;central;15481;no;premium;bachelor;05/01/11;jan;unemployed;m;68227;suburban;single;180;29;19;3;2;corporate auto;corporate l3;offer2;agent;1296;suv;medsize
8082;east;4630;no;basic;high school or below;13/01/11;jan;unemployed;f;53904;suburban;single;64;3;59;0;4;personal auto;personal l3;offer1;agent;460;four-door car;small
8083;east;5608;no;basic;high school or below;22/02/11;feb;employed;m;67176;suburban;single;72;20;90;0;9;personal auto;personal l3;offer2;branch;345;four-door car;large
8084;north west;2836;no;basic;bachelor;31/01/11;jan;employed;f;61029;rural;single;72;26;98;0;1;personal auto;personal l2;offer2;call center;114;two-door car;medsize
8085;west region;14932;no;basic;college;08/01/11;jan;employed;f;39049;urban;married;63;30;34;0;2;personal auto;personal l2;offer2;agent;294;two-door car;medsize
8086;west region;8906;no;basic;high school or below;02/02/11;feb;unemployed;f;30258;suburban;single;118;28;33;0;3;personal auto;personal l2;offer2;agent;566;suv;medsize
8087;west region;8044;no;basic;bachelor;12/01/11;jan;employed;f;68849;urban;married;67;9;67;0;2;corporate auto;corporate l1;offer2;call center;252;two-door car;medsize
8088;west region;8024;no;basic;high school or below;15/01/11;jan;unemployed;f;26238;suburban;single;119;6;48;1;8;personal auto;personal l1;offer3;branch;856;suv;medsize
8089;west region;7079;no;extended;college;28/02/11;feb;employed;f;24450;urban;married;90;4;65;0;4;personal auto;personal l2;offer3;agent;250;four-door car;medsize
8090;north west;8962;no;basic;bachelor;14/02/11;feb;employed;m;97924;suburban;married;74;4;26;0;2;personal auto;personal l2;offer1;branch;355;two-door car;medsize
8091;west region;8660;no;basic;college;20/02/11;feb;employed;f;79674;rural;married;107;29;50;0;3;personal auto;personal l2;offer3;call center;9;suv;medsize
8092;west region;2660;yes;basic;high school or below;25/01/11;jan;employed;f;53333;rural;married;66;4;34;0;1;personal auto;personal l1;offer2;branch;22;two-door car;medsize
8093;north west;8096;no;basic;high school or below;25/02/11;feb;employed;m;85483;urban;married;67;8;15;0;2;personal auto;personal l3;offer2;agent;314;two-door car;medsize
8094;north west;3226;no;extended;bachelor;01/01/11;jan;employed;f;83252;suburban;married;80;4;98;0;1;personal auto;personal l1;offer2;call center;384;four-door car;medsize
8095;north west;13869;yes;basic;college;21/01/11;jan;employed;m;28432;suburban;married;118;1;59;0;2;personal auto;personal l2;offer2;branch;612;suv;small
8096;west region;3267;no;extended;master;27/01/11;jan;employed;m;28729;urban;single;90;26;19;3;1;personal auto;personal l3;offer3;agent;338;four-door car;medsize
8097;north west;4254;yes;basic;high school or below;03/02/11;feb;disabled;f;11904;suburban;single;61;34;11;2;3;personal auto;personal l1;offer1;web;292;suv;medsize
8098;west region;7449;no;extended;high school or below;26/02/11;feb;unemployed;f;14825;suburban;single;206;7;82;0;1;personal auto;personal l2;offer2;agent;1483;luxury suv;large
8099;central;2498;no;basic;bachelor;20/02/11;feb;employed;f;31357;rural;married;63;2;88;0;1;personal auto;personal l3;offer2;branch;2;four-door car;medsize
8100;west region;2837;no;basic;college;14/02/11;feb;employed;m;29242;suburban;married;73;26;23;0;1;personal auto;personal l1;offer3;branch;350;two-door car;large
8101;east;7887;no;basic;high school or below;24/02/11;feb;employed;f;76590;urban;divorced;65;0;91;0;2;personal auto;personal l3;offer1;agent;183;four-door car;large
8102;east;8033;no;basic;college;30/01/11;jan;employed;f;70311;suburban;married;66;18;15;0;2;personal auto;personal l3;offer1;branch;341;two-door car;medsize
8103;east;2443;no;basic;college;23/02/11;feb;employed;m;92834;suburban;married;61;15;56;0;1;special auto;special l2;offer2;call center;292;four-door car;large
8104;west region;7007;no;basic;bachelor;07/02/11;feb;unemployed;m;48468;suburban;single;101;12;12;0;6;corporate auto;corporate l3;offer2;branch;973;suv;medsize
8105;west region;8065;no;extended;college;07/02/11;feb;retired;m;29692;suburban;divorced;77;3;53;0;2;personal auto;personal l2;offer2;branch;449;four-door car;medsize
8106;north west;2748;no;basic;high school or below;14/01/11;jan;employed;m;56900;urban;married;68;11;34;0;1;personal auto;personal l3;offer3;agent;304;four-door car;medsize
8107;west region;3633;no;extended;bachelor;28/02/11;feb;employed;m;43334;suburban;married;95;3;72;2;1;corporate auto;corporate l2;offer4;call center;614;two-door car;small
8108;north west;14718;no;extended;college;26/02/11;feb;employed;m;56263;suburban;married;93;27;31;0;2;corporate auto;corporate l3;offer2;agent;446;four-door car;medsize
8109;central;5598;no;basic;college;13/01/11;jan;employed;f;51737;suburban;single;71;13;55;0;6;personal auto;personal l1;offer1;web;430;four-door car;medsize
8110;north west;4069;no;premium;college;13/01/11;jan;unemployed;f;60534;suburban;single;117;0;42;0;1;corporate auto;corporate l3;offer2;branch;609;four-door car;medsize
8111;north west;3087;no;extended;high school or below;28/01/11;jan;employed;m;67591;urban;married;77;2;78;0;1;special auto;special l2;offer3;agent;198;four-door car;medsize
8112;west region;4991;no;basic;doctor;30/01/11;jan;medical leave;m;12608;urban;married;66;23;72;1;3;personal auto;personal l1;offer1;agent;214;four-door car;medsize
8113;central;4090;no;premium;master;30/01/11;jan;employed;f;38884;urban;married;102;4;87;0;1;personal auto;personal l3;offer4;branch;423;two-door car;medsize
8114;north west;5824;no;basic;bachelor;26/01/11;jan;employed;m;40964;suburban;married;74;7;57;0;8;special auto;special l2;offer3;agent;355;two-door car;large
8115;east;11131;no;extended;high school or below;04/01/11;jan;unemployed;f;44629;suburban;married;99;26;60;0;2;personal auto;personal l3;offer1;agent;475;four-door car;small
8116;west region;4298;no;basic;bachelor;17/02/11;feb;employed;f;31414;suburban;married;116;0;68;4;1;personal auto;personal l3;offer1;call center;556;suv;medsize
8117;north west;8564;no;basic;high school or below;17/02/11;feb;employed;m;95697;rural;married;107;29;29;0;9;personal auto;personal l2;offer2;agent;178;sports car;medsize
8118;north west;16706;no;basic;bachelor;09/02/11;feb;employed;f;63933;suburban;divorced;70;35;98;0;2;personal auto;personal l3;offer1;call center;424;two-door car;medsize
8119;central;8427;yes;extended;bachelor;10/02/11;feb;employed;f;46503;suburban;divorced;215;30;21;5;1;personal auto;personal l2;offer1;agent;1032;luxury suv;medsize
8120;east;8936;no;basic;master;01/01/11;jan;employed;f;37520;rural;married;74;21;30;0;2;special auto;special l3;offer1;agent;163;two-door car;medsize
8121;north west;5191;no;basic;high school or below;09/02/11;feb;employed;m;86451;rural;single;65;0;99;0;3;personal auto;personal l3;offer1;branch;7;two-door car;medsize
8122;west region;2436;no;basic;master;30/01/11;jan;employed;m;87462;rural;married;61;0;79;1;1;corporate auto;corporate l2;offer4;call center;51;four-door car;medsize
8123;west region;7188;no;extended;high school or below;29/01/11;jan;medical leave;m;13542;suburban;married;94;5;35;0;8;personal auto;personal l3;offer1;web;451;four-door car;small
8124;west region;4908;no;basic;bachelor;27/02/11;feb;employed;m;33305;suburban;married;62;3;12;0;5;special auto;special l2;offer1;call center;353;four-door car;small
8125;central;4880;no;basic;college;23/01/11;jan;employed;m;97984;suburban;married;61;1;36;1;5;personal auto;personal l2;offer2;agent;407;four-door car;small
8126;west region;4508;no;basic;bachelor;08/02/11;feb;employed;m;83777;urban;married;112;18;74;0;1;personal auto;personal l3;offer1;branch;377;sports car;small
8127;north west;2876;no;basic;high school or below;14/02/11;feb;employed;m;40171;suburban;divorced;73;8;78;0;1;personal auto;personal l3;offer4;agent;350;four-door car;medsize
8128;east;8034;no;basic;bachelor;03/01/11;jan;unemployed;f;95864;suburban;married;103;16;50;0;7;personal auto;personal l3;offer2;agent;741;suv;medsize
8129;north west;9060;no;basic;high school or below;18/01/11;jan;employed;f;57078;suburban;married;113;26;13;1;8;personal auto;personal l3;offer1;call center;542;sports car;large
8130;north west;15114;yes;basic;high school or below;19/01/11;jan;medical leave;f;28513;suburban;married;100;4;22;1;2;personal auto;personal l1;offer2;call center;480;suv;medsize
8131;west region;3792;no;basic;bachelor;21/01/11;jan;unemployed;m;57829;suburban;married;104;23;76;0;1;personal auto;personal l3;offer3;branch;748;suv;medsize
8132;west region;3728;no;basic;college;27/02/11;feb;unemployed;m;15678;suburban;single;69;21;54;5;3;personal auto;personal l2;offer4;call center;496;two-door car;medsize
8133;central;5323;no;basic;college;19/02/11;feb;employed;f;55289;rural;single;67;30;71;1;3;personal auto;personal l3;offer2;agent;134;four-door car;medsize
8134;north west;12052;no;premium;high school or below;03/01/11;jan;employed;f;25419;suburban;married;101;13;18;0;2;personal auto;personal l2;offer2;call center;584;four-door car;medsize
8135;north west;5391;no;basic;college;21/02/11;feb;employed;f;41662;urban;divorced;69;27;73;0;6;corporate auto;corporate l3;offer1;agent;217;four-door car;medsize
8136;west region;5181;yes;basic;master;03/02/11;feb;employed;f;97131;suburban;married;64;5;80;0;6;personal auto;personal l3;offer2;agent;307;four-door car;small
8137;north west;5969;no;basic;bachelor;26/01/11;jan;employed;f;97431;suburban;married;74;1;72;0;3;personal auto;personal l2;offer3;branch;355;four-door car;medsize
8138;west region;5498;yes;basic;college;05/02/11;feb;medical leave;m;22520;suburban;married;73;17;64;0;3;corporate auto;corporate l2;offer1;branch;350;four-door car;medsize
8139;north west;10928;no;extended;college;11/01/11;jan;employed;f;74965;rural;married;90;20;93;0;2;personal auto;personal l3;offer1;agent;58;four-door car;medsize
8140;west region;2876;no;extended;bachelor;19/02/11;feb;unemployed;m;50987;suburban;single;84;4;29;0;1;personal auto;personal l1;offer3;branch;849;four-door car;medsize
8141;central;8873;no;premium;bachelor;14/02/11;feb;employed;f;53503;suburban;single;114;3;43;0;7;personal auto;personal l1;offer1;agent;547;four-door car;medsize
8142;north west;13897;no;premium;bachelor;23/02/11;feb;medical leave;m;24378;suburban;married;188;18;34;0;5;corporate auto;corporate l3;offer1;agent;902;suv;medsize
8143;west region;5386;no;basic;high school or below;21/02/11;feb;employed;m;93893;rural;married;67;16;70;0;8;personal auto;personal l2;offer3;agent;98;four-door car;medsize
8144;north west;4928;no;extended;high school or below;15/02/11;feb;employed;m;52507;suburban;married;123;23;55;0;1;personal auto;personal l3;offer1;agent;590;suv;medsize
8145;west region;5470;yes;extended;bachelor;17/02/11;feb;employed;f;54507;suburban;married;138;20;11;0;1;personal auto;personal l3;offer2;agent;702;suv;medsize
8146;north west;2897;no;extended;high school or below;27/02/11;feb;unemployed;f;96707;suburban;single;77;19;17;0;1;personal auto;personal l2;offer1;branch;554;four-door car;medsize
8147;east;8186;no;basic;high school or below;28/01/11;jan;employed;f;43877;urban;married;102;26;77;0;4;corporate auto;corporate l1;offer1;agent;414;suv;medsize
8148;west region;5205;no;basic;bachelor;14/01/11;jan;employed;m;32946;suburban;married;66;13;7;0;6;corporate auto;corporate l3;offer1;branch;316;two-door car;small
8149;north west;9336;no;premium;master;25/01/11;jan;employed;f;70177;rural;married;115;12;34;0;8;personal auto;personal l1;offer1;agent;225;four-door car;medsize
8150;central;6997;no;extended;bachelor;08/01/11;jan;employed;f;55873;urban;married;88;30;19;0;6;personal auto;personal l2;offer2;agent;299;four-door car;small
8151;west region;2735;no;basic;college;14/02/11;feb;employed;f;96314;urban;single;69;2;76;0;1;personal auto;personal l3;offer2;agent;296;four-door car;medsize
8152;west region;8262;no;basic;college;01/01/11;jan;unemployed;f;47968;suburban;single;113;25;55;0;3;corporate auto;corporate l3;offer1;agent;813;suv;medsize
8153;central;58753;no;premium;bachelor;06/01/11;jan;employed;f;24964;suburban;married;185;0;84;0;2;personal auto;personal l2;offer2;agent;888;suv;medsize
8154;north west;6906;no;extended;college;18/02/11;feb;medical leave;m;13432;suburban;married;92;5;82;0;8;personal auto;personal l3;offer1;branch;610;four-door car;small
8155;north west;5119;no;basic;high school or below;10/01/11;jan;employed;f;40169;urban;divorced;65;1;47;1;3;personal auto;personal l3;offer1;call center;302;four-door car;medsize
8156;west region;2511;no;basic;college;03/02/11;feb;medical leave;f;14906;suburban;married;66;31;0;0;1;corporate auto;corporate l3;offer2;branch;421;four-door car;small
8157;west region;10369;no;basic;college;08/02/11;feb;unemployed;f;21491;suburban;married;69;35;50;0;2;corporate auto;corporate l2;offer1;branch;454;four-door car;small
